"Latin","Abundance","kappa","sigma","mu","Abundance.ext"
"Inga marginata",898,7.81841260189814e-05,15.9800294734025,22.971414933563,6919
"Inga mucuna",1,2e-06,1,1,6
"Inga nobilis",780,0.000106983038185701,41.440593402567,14.5817507752225,6167
"Inga oerstediana",11,2.25198502455537e-06,171.055514587927,9.76915910190995,43
"Inga pezizifera",203,3.80900067672286e-06,57.9332553296808,106.58963714055,1526
"Inga punctata",18,0.000108797645516145,24.0171274416917,0.330889513547954,147
"Inga ruiziana",38,5.26467033136192e-05,2.15525896842318,1.44358516709515,310
"Inga sapindoides",395,0.00233193514226498,7.4091258660243,0.338774430592732,3304
"Inga spectabilis",22,10971.5025675877,173.172669796573,4.01038961882814e-09,184
"Inga thibaudiana",61,2.85360884246634e-06,87.9777494588913,42.7528812584408,517
"Inga umbellifera",951,0.000307140596441639,27.9351789600898,6.19260371971506,7513
"Jacaranda copaia",343,0.000123555531756417,14.8181022439407,5.55215934283228,2810
"Koanophyllon wetmorei",15,2.90190145822572e-06,8.95228232865129,10.3380491832216,114
"Lacistema aggregatum",1561,0.000168830059526219,33.5036538833369,18.4919676552928,12910
"Lacmellea panamensis",92,9.3656519919237e-05,87.1851602300303,1.96462563587318,682
"Laetia procera",24,1.47955890318276e-05,15.2208962741044,3.24421014241099,151
"Laetia thamnia",511,3.07774342680468e-05,32.6863678949825,33.2061467859601,4030
"Lafoensia punicifolia",9,1.42866615473728e-06,56.1288570087561,12.5991645706131,114
"Licania hypoleuca",120,8.18686921854152e-06,34.6501209306583,29.3152356039169,704
"Licania platypus",253,9.30821302740249e-06,61.5589525814039,54.3605951550941,2027
"Lindackeria laurina",110,5.10710976147572e-05,28.1552610886641,4.30772022288454,870
"Lonchocarpus heptaphyllus",844,0.000153531840654703,28.0257757277606,10.9944620790182,6989
"Lozania pittieri",18,2.00242987199698e-06,20.9262830258789,17.9781576890371,236
"Luehea seemannii",188,9.83682837554274e-05,8.22943336879147,3.82237023606966,1490
"Lycianthes maxonii",1,2e-06,1,1,9
"Maclura tinctoria",2,88480.9545280003,491.780380216211,4.5207468899244e-11,25
"Macrocnemum roseum",101,1.41610917176348e-05,13.9574285888686,14.2644369535754,694
"Malpighia romeroana",51,7.15993607055896e-05,1.87829391183837,1.42459372534645,445
"Maquira guianensis",1416,0.000436265413881267,24.9091056981595,6.49146118369758,11616
"Margaritaria nobilis",3,226789.538500111,787.331826625366,2.64562467902243e-11,33
"Marila laxiflora",23,3.6587974192621e-06,12.1779774946445,12.5724369864886,226
"Maytenus schippii",87,6.24508160326961e-05,55.7529094623661,2.78619257607302,611
"Miconia affinis",370,3.53418885384017e-05,30.9518122482996,20.938326461981,2841
"Miconia argentea",529,0.000157636246026667,6.21614363210019,6.71165437307498,4348
"Miconia elata",34,2.01517185555383e-05,18.288879393776,3.37440202991083,311
"Miconia hondurensis",30,9.04620510547632e-06,49.3356950548859,6.63261547802821,201
"Miconia impetiolaris",10,3.20098362486982e-05,3.85170682187843,0.624807944802073,79
"Miconia nervosa",358,1.58857710134775e-05,38.6634912291653,45.071781495059,2822
"Mosannona garwoodii",276,8.09035454338823e-05,43.8080883653086,6.82293955153198,2345
"Mouriri myrtilloides",6926,0.000170474532395385,44.0281482203521,81.2555389087254,55377
"Myrcia gatunensis",41,2.77049294695876e-05,16.93826376069,2.95976209179719,299
"Myrospermum frutescens",26,3.81020825855596e-06,31.5884377844929,13.6475479741119,186
"Nectandra cissiflora",350,8.65508047506123e-06,56.2216588615615,80.877353135766,2902
"Nectandra fuzzy",9,9.73482564661572e-06,28.3675541070075,1.84903157523501,76
"Nectandra lineata",114,3.78267228957693e-05,28.896431040389,6.02748487169372,972
"Nectandra purpurea",84,3.00317191561262e-05,28.0661667513561,5.59408534445252,682
"Nectandra sp.4_(tiny_leaf)",1,2e-06,1,1,6
"Neea amplifolia",62,0.00017136651961329,21.3708549267126,0.723595252327127,510
"Ochroma pyramidale",4,1.44009740839244e-05,0.631446522303146,0.555517977699179,39
"Ocotea cernua",353,0.00025612406843244,17.4395131874231,2.75647659480401,2723
"Ocotea oblonga",217,4.71587295541725e-05,32.0469270524241,9.20296208364673,1860
"Ocotea puberula",270,2.88604264724069e-05,40.3235097396203,18.7107422170732,1934
"Ocotea whitei",1118,1.76968112600821e-05,25.7186673925259,126.350446254894,6946
"Oenocarpus mapora",1780,0.000129604190914033,42.1105962668718,27.4682475535174,14114
"Ormosia amazonica",1,2e-06,1,1,13
"Ormosia coccinea",53,1.92788434664605e-05,60.2980793496319,5.49825513052214,491
"Ormosia macrocalyx",71,2.46233425599424e-06,724.41032338594,57.6688561491272,548
"Ouratea lucens",1122,0.000109009790695557,23.2563527483602,20.5853069314393,9138
"Pachira quinata",2,1118692.069465,1748.64471039528,3.57560414450149e-12,23
"Pachira sessilis",24,2.0521716491439e-06,15.9530756059843,23.3898563114953,312
"Palicourea guianensis",376,0.000102421331898764,9.71464771193644,7.34222047359525,3146
"Pavonia dasypetala",1,2e-06,1,1,8
"Pentagonia macrophylla",567,0.00012265650459553,42.6875681415686,9.24533112809191,4657
"Perebea xanthochyma",267,3.38625999886468e-06,65.0499761440038,157.696101356374,2314
"Picramnia latifolia",1171,7.19077366595452e-05,43.6281337255698,32.5695135015645,9128
"Piper aequale",220,3.15795847349417e-05,23.3270092562028,13.9330521187365,1602
"Piper arboreum",107,0.000158408056111948,13.3104951819032,1.3509413930865,856
"Piper colonense",120,0.000114050087782866,5.7842510894672,2.10433858198271,976
"Piper cordulatum",3143,6.65745728477384e-05,30.7836209405074,94.4204330739996,26577
"Piper imperialis",9,8.62092605257181e-06,4.18177078168981,2.08794274422876,72
"Piper perlasense",110,1.2822428160859e-05,14.532691721409,17.157436738196,933
"Piper reticulatum",181,0.000156822046926103,20.6353268900746,2.30834890307598,1530
"Piper schiedeanum",14,1.23277047534946e-05,28.4303011578861,2.27130682960774,134
"Platymiscium pinnatum",186,0.000220754408031077,13.7889781048266,1.68513056349765,1446
"Platypodium elegans",174,0.000320132438671024,9.60150308244168,1.08705010165375,1363
"Posoqueria latifolia",76,3.56525476787749e-05,43.3109324816043,4.26336993837022,610
"Poulsenia armata",3422,5.35128079869339e-05,38.2053148393468,127.894615466097,27972
"Pourouma bicolor",40,5.1459940118448e-06,46.9637813963948,15.5460732787213,328
"Pouteria fossicola",3,154255.653011082,649.332055433805,3.88964675386578e-11,26
"Pouteria reticulata",1653,0.00135360497517947,17.1640496655069,2.44236690956435,13598
"Pouteria stipitata",65,5.36377839317562e-05,37.9847595418974,2.4236646347172,534
"Prioria copaifera",1353,9.38705706689216e-06,54.2010204828509,288.269260612463,7874
"Protium confusum",1,2e-06,1,1,2
"Protium costaricense",918,0.000100967842768226,37.0822803228827,18.1840073994111,7039
"Protium panamense",2741,6.69094833899006e-05,39.5250129970238,81.9315846164112,22327
"Protium tenuifolium",2603,2.13082117328656e-05,50.7976810999991,244.318953897493,24136
"Pseudobombax septenatum",23,7.24559613051916e-06,55.3589428987602,6.34868396904479,263
"Psidium friedrichsthalianum",40,2.14143110383126e-05,29.6486062282347,3.73581946469681,276
"Psychotria acuminata",8,2.61193823672067e-08,1132.0875910131,612.571912117197,82
"Psychotria chagrensis",14,7.55070915327203e-07,334.342228887388,37.0826096352373,121
"Psychotria cyanococca",4,57874.0270592784,397.729816927892,1.38231265500254e-10,26
"Psychotria deflexa",88,9.84344404016144e-06,37.8828949713013,17.8799208165269,601
"Psychotria graciliflora",10,2.36359506105381e-06,27.6337918313923,8.46168632247986,84
"Psychotria grandis",104,1.46613965830491e-05,18.0587143726888,14.18691587952,1054
"Psychotria hoffmannseggiana",5,3.1350561157986e-05,21.7671815108652,0.318973556792386,33
"Psychotria horizontalis",6161,6.55709295793679e-05,29.1459485068966,187.918641371178,52160
"Psychotria limonensis",15,1.23359077462767e-05,1.77164690513456,2.4319248017281,117
"Psychotria marginata",577,5.60831499598662e-05,10.7888879524293,20.5765903096709,4373
"Psychotria racemosa",1,2e-06,1,1,5
"Psychotria tenuifolia",7,3.65611584573936e-05,9.50764842018579,0.382920032917306,38
"Pterocarpus officinalis",9,4.34289952820085e-08,1059.136932396,414.469639076751,213
"Pterocarpus rohrii",1574,0.000504492594460165,24.7130773517695,6.23993302293869,12647
"Quararibea asterolepis",2395,0.00020325996332983,30.6053447015712,23.5658804691767,18889
"Quassia amara",158,9.60686770564763e-06,42.7107765802025,32.893135377958,1525
"Randia armata",1129,0.000427849147142234,21.8923976739667,5.27756106347771,8795
"Rinorea sylvatica",2578,5.56014311664795e-05,12.8899480113789,92.7314260052429,20348
"Rosenbergiodendron formosum",4,1.44368535271816e-05,1.91067578303793,0.554137366908771,36
"Sapium broadleaf",3,2.09274779170191e-08,1042.53381448909,286.704400013752,0
"Sapium glandulosum",48,7.40277046647462e-05,39.9513299340216,1.29681178735395,387
"Schefflera morototoni",1,2e-06,1,1,8
"Schizolobium parahyba",12,1.17036330387068e-06,130.526170712284,20.5064529284421,68
"Senna dariensis",202,0.000169714310286983,8.04119556107537,2.38047103580626,1693
"Simarouba amara",1237,8.85032784858706e-05,33.2584714773454,27.9537667115345,10048
"Siparuna guianensis",38,2.80459822884399e-06,54.5605346211276,27.0983555570903,236
"Siparuna pauciflora",431,0.000108261575253277,28.1554449790901,7.96219709516841,3847
"Sloanea terniflora",606,2.42254409866588e-05,68.4186878327261,50.0300490161339,4467
"Socratea exorrhiza",812,1.37337931988261e-05,42.4256568217405,118.248467592975,5759
"Solanum arboreum",1,2e-06,1,1,5
"Solanum circinatum",5,3.41199991607451e-06,56.0392998088408,2.93083242847935,50
"Solanum hayesii",125,0.000107113106515586,9.57211823667177,2.3339814158375,1039
"Solanum steyermarkii",7,7.23804299848356e-06,2.00960122208168,1.93422448622274,55
"Sorocea affinis",3299,0.000740006117257413,21.074480156677,8.91614251035289,25924
"Spachea membranacea",20,1.95028315864284e-06,5.96842435609067,20.5098422876374,270
"Spondias mombin",55,1.2935167808138e-05,16.7238442272506,8.50394843202539,353
"Spondias radlkoferi",200,0.000110139760347161,17.9489134795999,3.63174932230831,1634
"Stemmadenia grandiflora",1,2e-06,1,1,10
"Sterculia apetala",66,0.000382328079578482,4.4903493822721,0.345253218506814,542
"Stylogyne turbacensis",716,0.00723164494913711,3.60326269626355,0.1980185711649,5874
"Swartzia simplex",4968,0.000526828744953178,28.9525689936718,18.8600187350883,39163
"Symphonia globulifera",189,2.7767497962523e-05,42.3654811146416,13.6130378224994,1294
"Tabebuia guayacan",76,3.91486654873787e-05,24.0951838980678,3.8826355408974,635
"Tabebuia rosea",312,0.000347969843567419,17.9869115745768,1.79325884565943,2472
"Tabernaemontana arborea",1296,0.00010991448727794,49.0310553139417,23.5819687121465,10953
"Tachigali versicolor",2922,0.000133766814816083,29.4767686177786,43.6879655693004,25252
"Talisia croatii",623,4.01878924251945e-05,71.1842739615628,31.0043628766872,4178
"Talisia nervosa",809,2.89812109938955e-05,27.1140070298581,55.8292750548212,6379
"Terminalia amazonia",61,2.05031518876644e-05,16.1032844604248,5.95030464917936,467
"Terminalia oblonga",93,5.98509508386255e-06,35.4108322466938,31.0772005112344,693
"Ternstroemia tepezapote",1,2e-06,1,1,15
"Tetragastris panamensis",3284,0.00012360680187865,28.8304189224791,53.1362344157085,25358
"Tetrathylacium johansenii",10,1.28079614221292e-05,32.7489401289639,1.56152875081624,94
"Theobroma cacao",22,0.000464173762010054,4.10920931900373,0.0947920877937235,154
"Thevetia ahouai",105,1.40327505814247e-05,7.12726436153137,14.9649919865303,887
"Tocoyena pittieri",8,5.02210976925621e-07,571.360904927811,31.8591204396746,48
"Trattinnickia aspera",113,7.46498717642924e-05,3.25682213557869,3.0274666875999,922
"Trema micrantha",32,2.47422906828978e-05,6.50944958151197,2.586664299609,249
"Trichanthera gigantea",12,2.88417450939474e-06,18.849092433566,8.32127179608024,104
"Trichilia pallida",560,6.17782151847418e-05,42.2030123846721,18.1293680409955,4272
"Trichilia tuberculata",12929,0.000114638844208576,35.120916944405,225.56054344855,101121
"Trichospermum galeottii",7,5.38567410539876e-06,30.8131962545772,2.59948888960177,50
"Triplaris cumingiana",376,5.15411884730383e-05,29.4586366157112,14.5902727949973,2962
"Trophis caucana",441,8.71287751630252e-06,50.6424211180692,101.22947308162,4821
"Trophis racemosa",315,0.000146319987415858,29.0736097444645,4.30563186292156,2618
"Turpinia occidentalis",153,0.000118669467444226,19.6315173675313,2.57859082534282,1286
"Unidentified species",25,5.89799426325648e-06,50.5115821352799,8.4774582287222,232
"Unonopsis pittieri",772,4.4185650645011e-05,35.5706280909026,34.943470956319,6072
"Urera baccifera",2,156021.72967,653.038585705623,2.56374545293169e-11,22
"Virola multiflora",58,1.11971652844508e-05,51.5520463672773,10.3597649095246,431
"Virola sebifera",2399,0.000214162492260822,28.1457432214047,22.403549516769,19964
"Virola surinamensis",308,0.000100099724322416,27.6289146336637,6.15386310171937,2332
